,index,Unnamed: 0,dteday,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weeks_mean
0,0,0,2011-01-01 00:00:00,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0.0
1,1,1,2011-01-01 01:00:00,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,0.0
2,2,2,2011-01-01 02:00:00,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,0.0
3,3,3,2011-01-01 03:00:00,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,0.0
4,4,4,2011-01-01 04:00:00,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,0.0
5,5,5,2011-01-01 05:00:00,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.0
6,6,6,2011-01-01 06:00:00,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,0.0
7,7,7,2011-01-01 07:00:00,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,0.0
8,8,8,2011-01-01 08:00:00,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,0.0
9,9,9,2011-01-01 09:00:00,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,0.0
10,10,10,2011-01-01 10:00:00,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.0
11,11,11,2011-01-01 11:00:00,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.0
12,12,12,2011-01-01 12:00:00,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.0
13,13,13,2011-01-01 13:00:00,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0.0
14,14,14,2011-01-01 14:00:00,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.0
15,15,15,2011-01-01 15:00:00,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.0
16,16,16,2011-01-01 16:00:00,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.0
17,17,17,2011-01-01 17:00:00,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.0
18,18,18,2011-01-01 18:00:00,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.0
19,19,19,2011-01-01 19:00:00,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.0
20,20,20,2011-01-01 20:00:00,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.0
21,21,21,2011-01-01 21:00:00,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.0
22,22,22,2011-01-01 22:00:00,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.0
23,23,23,2011-01-01 23:00:00,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.0
24,24,24,2011-01-02 00:00:00,25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.0
25,25,25,2011-01-02 01:00:00,26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0.0
26,26,26,2011-01-02 02:00:00,27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,0.0
27,27,27,2011-01-02 03:00:00,28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0.0
28,28,28,2011-01-02 04:00:00,29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0.0
29,29,29,2011-01-02 05:00:00,29,1,0,1,5,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0.0
30,30,30,2011-01-02 06:00:00,30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0.0
31,31,31,2011-01-02 07:00:00,31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0.0
32,32,32,2011-01-02 08:00:00,32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,0.0
33,33,33,2011-01-02 09:00:00,33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,0.0
34,34,34,2011-01-02 10:00:00,34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,0.0
35,35,35,2011-01-02 11:00:00,35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0.0
36,36,36,2011-01-02 12:00:00,36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,0.0
37,37,37,2011-01-02 13:00:00,37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,0.0
38,38,38,2011-01-02 14:00:00,38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,0.0
39,39,39,2011-01-02 15:00:00,39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,0.0
40,40,40,2011-01-02 16:00:00,40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,0.0
41,41,41,2011-01-02 17:00:00,41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,0.0
42,42,42,2011-01-02 18:00:00,42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,0.0
43,43,43,2011-01-02 19:00:00,43,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0.0
44,44,44,2011-01-02 20:00:00,44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0.0
45,45,45,2011-01-02 21:00:00,45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0.0
46,46,46,2011-01-02 22:00:00,46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0.0
47,47,47,2011-01-02 23:00:00,47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0.0
48,48,48,2011-01-03 00:00:00,48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0.0
49,49,49,2011-01-03 01:00:00,49,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0.0
50,50,50,2011-01-03 02:00:00,49,1,0,1,2,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0.0
51,51,51,2011-01-03 03:00:00,49,1,0,1,3,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0.0
52,52,52,2011-01-03 04:00:00,50,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,0.0
53,53,53,2011-01-03 05:00:00,51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0.0
54,54,54,2011-01-03 06:00:00,52,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,0.0
55,55,55,2011-01-03 07:00:00,53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,0.0
56,56,56,2011-01-03 08:00:00,54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0.0
57,57,57,2011-01-03 09:00:00,55,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,0.0
58,58,58,2011-01-03 10:00:00,56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0.0
59,59,59,2011-01-03 11:00:00,57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,0.0
60,60,60,2011-01-03 12:00:00,58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,0.0
61,61,61,2011-01-03 13:00:00,59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,0.0
62,62,62,2011-01-03 14:00:00,60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,0.0
63,63,63,2011-01-03 15:00:00,61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,0.0
64,64,64,2011-01-03 16:00:00,62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,0.0
65,65,65,2011-01-03 17:00:00,63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,0.0
66,66,66,2011-01-03 18:00:00,64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,0.0
67,67,67,2011-01-03 19:00:00,65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,0.0
68,68,68,2011-01-03 20:00:00,66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,0.0
69,69,69,2011-01-03 21:00:00,67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0.0
70,70,70,2011-01-03 22:00:00,68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0.0
71,71,71,2011-01-03 23:00:00,69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0.0
72,72,72,2011-01-04 00:00:00,70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0.0
73,73,73,2011-01-04 01:00:00,71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0.0
74,74,74,2011-01-04 02:00:00,72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0.0
75,75,75,2011-01-04 03:00:00,72,1,0,1,3,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0.0
76,76,76,2011-01-04 04:00:00,73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0.0
77,77,77,2011-01-04 05:00:00,74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0.0
78,78,78,2011-01-04 06:00:00,75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0.0
79,79,79,2011-01-04 07:00:00,76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,0.0
80,80,80,2011-01-04 08:00:00,77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0.0
81,81,81,2011-01-04 09:00:00,78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,0.0
82,82,82,2011-01-04 10:00:00,79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,0.0
83,83,83,2011-01-04 11:00:00,80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,0.0
84,84,84,2011-01-04 12:00:00,81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,0.0
85,85,85,2011-01-04 13:00:00,82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,0.0
86,86,86,2011-01-04 14:00:00,83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,0.0
87,87,87,2011-01-04 15:00:00,84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,0.0
88,88,88,2011-01-04 16:00:00,85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,0.0
89,89,89,2011-01-04 17:00:00,86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,0.0
90,90,90,2011-01-04 18:00:00,87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,0.0
91,91,91,2011-01-04 19:00:00,88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,0.0
92,92,92,2011-01-04 20:00:00,89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,0.0
93,93,93,2011-01-04 21:00:00,90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,0.0
94,94,94,2011-01-04 22:00:00,91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,0.0
95,95,95,2011-01-04 23:00:00,92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,0.0
96,96,96,2011-01-05 00:00:00,93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0.0
97,97,97,2011-01-05 01:00:00,94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0.0
98,98,98,2011-01-05 02:00:00,95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0.0
99,99,99,2011-01-05 03:00:00,95,1,0,1,3,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0.0
100,100,100,2011-01-05 04:00:00,96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0.0
101,101,101,2011-01-05 05:00:00,97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0.0
102,102,102,2011-01-05 06:00:00,98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0.0
103,103,103,2011-01-05 07:00:00,99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0.0
104,104,104,2011-01-05 08:00:00,100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0.0
105,105,105,2011-01-05 09:00:00,101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,0.0
106,106,106,2011-01-05 10:00:00,102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,0.0
107,107,107,2011-01-05 11:00:00,103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,0.0
108,108,108,2011-01-05 12:00:00,104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,0.0
109,109,109,2011-01-05 13:00:00,105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,0.0
110,110,110,2011-01-05 14:00:00,106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0.0
111,111,111,2011-01-05 15:00:00,107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,0.0
112,112,112,2011-01-05 16:00:00,108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,0.0
113,113,113,2011-01-05 17:00:00,109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,0.0
114,114,114,2011-01-05 18:00:00,110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,0.0
115,115,115,2011-01-05 19:00:00,111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0.0
116,116,116,2011-01-05 20:00:00,112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,0.0
117,117,117,2011-01-05 21:00:00,113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,0.0
118,118,118,2011-01-05 22:00:00,114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0.0
119,119,119,2011-01-05 23:00:00,115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,0.0
120,120,120,2011-01-06 00:00:00,116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0.0
121,121,121,2011-01-06 01:00:00,117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,0.0
122,122,122,2011-01-06 02:00:00,118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,0.0
123,123,123,2011-01-06 03:00:00,118,1,0,1,3,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,0.0
124,124,124,2011-01-06 04:00:00,119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0.0
125,125,125,2011-01-06 05:00:00,120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0.0
126,126,126,2011-01-06 06:00:00,121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,0.0
127,127,127,2011-01-06 07:00:00,122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,0.0
128,128,128,2011-01-06 08:00:00,123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,0.0
129,129,129,2011-01-06 09:00:00,124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,0.0
130,130,130,2011-01-06 10:00:00,125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,0.0
